domain1,domain2,domain result,cosine distance
PF00400,PF00121,PF13395,0.2999947965145111
PF00400,PF00395,PF02479,0.2958362102508545
PF00400,PF00410,PF10798,0.2900518774986267
PF00400,PF00414,PF02479,0.2984684705734253
PF00400,PF00440,PF02479,0.29897189140319824
PF00400,PF00475,PF04237,0.2988315224647522
PF00400,PF00584,PF04237,0.29781222343444824
PF00400,PF00635,PF10409,0.2782946825027466
PF00400,PF00813,PF02479,0.2970584034919739
PF00400,PF00872,PF04237,0.29884517192840576
PF00400,PF00877,PF04237,0.2971762716770172
PF00400,PF00908,PF04237,0.29760491847991943
PF00400,PF01048,PF09095,0.2950780391693115
PF00400,PF01050,PF04237,0.29441219568252563
PF00400,PF01075,PF04237,0.2996128499507904
PF00400,PF01086,PF04237,0.2891063988208771
PF00400,PF01103,PF00907,0.29446253180503845
PF00400,PF01117,PF13116,0.2989819645881653
PF00400,PF01175,PF07923,0.2960025668144226
PF00400,PF01220,PF04237,0.29775556921958923
PF00400,PF01225,PF12901,0.29963451623916626
PF00400,PF01249,PF02479,0.29515090584754944
PF00400,PF01269,PF04237,0.2992551326751709
PF00400,PF01275,PF11128,0.29828959703445435
PF00400,PF01293,PF04237,0.29988354444503784
PF00400,PF01430,PF02479,0.2981746196746826
PF00400,PF01451,PF02479,0.29747962951660156
PF00400,PF01469,PF14876,0.29686760902404785
PF00400,PF01491,PF10335,0.28847718238830566
PF00400,PF01497,PF04237,0.2977945804595947
PF00400,PF01655,PF13116,0.2875964045524597
PF00400,PF01725,PF04237,0.29895925521850586
PF00400,PF01745,PF04237,0.295782208442688
PF00400,PF01781,PF04237,0.29794785380363464
PF00400,PF01782,PF07744,0.2992325723171234
PF00400,PF01804,PF02479,0.2971958518028259
PF00400,PF01869,PF10335,0.2996051013469696
PF00400,PF01940,PF02479,0.2981519103050232
PF00400,PF01951,PF11128,0.2926371693611145
PF00400,PF01975,PF15338,0.2947057783603668
PF00400,PF01991,PF04237,0.2814343273639679
PF00400,PF02029,PF11352,0.2986873388290405
PF00400,PF02082,PF02479,0.2985351085662842
PF00400,PF02186,PF04237,0.2955448627471924
PF00400,PF02272,PF12901,0.29318439960479736
PF00400,PF02308,PF04237,0.2933254837989807
PF00400,PF02343,PF02479,0.29491692781448364
PF00400,PF02355,PF02479,0.2994658648967743
PF00400,PF02384,PF02479,0.2995285987854004
PF00400,PF02404,PF04237,0.2991286516189575
PF00400,PF02441,PF04237,0.29319506883621216
PF00400,PF02501,PF04237,0.29871249198913574
PF00400,PF02545,PF04237,0.2875668406486511
PF00400,PF02597,PF02479,0.29235509037971497
PF00400,PF02615,PF10335,0.29343101382255554
PF00400,PF02620,PF14876,0.29374149441719055
PF00400,PF02631,PF04237,0.2977481484413147
PF00400,PF02792,PF11128,0.2994263470172882
PF00400,PF02810,PF04237,0.2945896089076996
PF00400,PF02839,PF07744,0.2971245050430298
PF00400,PF02938,PF04237,0.2996406555175781
PF00400,PF02939,PF10798,0.2995758056640625
PF00400,PF03051,PF04237,0.29774001240730286
PF00400,PF03119,PF04237,0.2973666489124298
PF00400,PF03120,PF07744,0.29897958040237427
PF00400,PF03146,PF07744,0.29667025804519653
PF00400,PF03193,PF04237,0.29823219776153564
PF00400,PF03199,PF04237,0.28900671005249023
PF00400,PF03223,PF04237,0.2993694245815277
PF00400,PF03259,PF07744,0.2806803584098816
PF00400,PF03427,PF02479,0.2916877269744873
PF00400,PF03490,PF02479,0.28802689909935
PF00400,PF03494,PF10798,0.29794198274612427
PF00400,PF03588,PF04237,0.2949020564556122
PF00400,PF03596,PF04237,0.2903178930282593
PF00400,PF03618,PF04237,0.2993200421333313
PF00400,PF03665,PF04237,0.2961290180683136
PF00400,PF03703,PF14876,0.2976667881011963
PF00400,PF03713,PF04237,0.2997783124446869
PF00400,PF03755,PF04237,0.29629436135292053
PF00400,PF03761,PF04237,0.29995325207710266
PF00400,PF03823,PF04237,0.29839766025543213
PF00400,PF03832,PF02479,0.29876434803009033
PF00400,PF03834,PF04237,0.29950565099716187
PF00400,PF03839,PF10798,0.288260281085968
PF00400,PF03864,PF02479,0.29849278926849365
PF00400,PF03874,PF04237,0.2954195737838745
PF00400,PF03912,PF04237,0.29981374740600586
PF00400,PF03917,PF13395,0.28061404824256897
PF00400,PF03921,PF04237,0.29785892367362976
PF00400,PF03992,PF14334,0.29117608070373535
PF00400,PF03998,PF10798,0.2916595935821533
PF00400,PF04005,PF04237,0.2999769151210785
PF00400,PF04032,PF04237,0.2993215322494507
PF00400,PF04103,PF00907,0.2952585816383362
PF00400,PF04133,PF04237,0.2991791367530823
PF00400,PF04135,PF04237,0.29964518547058105
PF00400,PF04177,PF04237,0.288315087556839
PF00400,PF04183,PF04237,0.29739636182785034
PF00400,PF04261,PF02479,0.2825062870979309
PF00400,PF04307,PF02479,0.2976720333099365
PF00400,PF04359,PF04237,0.2974666953086853
PF00400,PF04399,PF04237,0.29914313554763794
PF00400,PF04613,PF02479,0.2992664575576782
PF00400,PF04627,PF04237,0.29971015453338623
PF00400,PF04640,PF04237,0.29894474148750305
PF00400,PF04642,PF04237,0.29765695333480835
PF00400,PF04699,PF11128,0.287611186504364
PF00400,PF04813,PF13116,0.29630663990974426
PF00400,PF04949,PF04237,0.296333372592926
PF00400,PF05099,PF04237,0.2983017563819885
PF00400,PF05118,PF08095,0.2645590007305145
PF00400,PF05128,PF02479,0.29328328371047974
PF00400,PF05148,PF14876,0.2694329619407654
PF00400,PF05162,PF04237,0.2993588149547577
PF00400,PF05189,PF02479,0.2983010411262512
PF00400,PF05202,PF02479,0.2981587052345276
PF00400,PF05251,PF04237,0.295844167470932
PF00400,PF05279,PF02479,0.2776485085487366
PF00400,PF05296,PF13116,0.2997668981552124
PF00400,PF05309,PF02479,0.2987695038318634
PF00400,PF05350,PF06831,0.29057830572128296
PF00400,PF05351,PF04237,0.29509150981903076
PF00400,PF05365,PF04237,0.2929859459400177
PF00400,PF05386,PF15629,0.29493457078933716
PF00400,PF05421,PF04237,0.2956275939941406
PF00400,PF05433,PF04237,0.2944345772266388
PF00400,PF05438,PF04237,0.2980636954307556
PF00400,PF05448,PF04237,0.2988949120044708
PF00400,PF05458,PF02479,0.2992926836013794
PF00400,PF05483,PF04237,0.2992279529571533
PF00400,PF05532,PF02479,0.29517459869384766
PF00400,PF05547,PF04237,0.2987072765827179
PF00400,PF05642,PF04237,0.2928061783313751
PF00400,PF05697,PF07744,0.29854440689086914
PF00400,PF05700,PF11128,0.29211294651031494
PF00400,PF05706,PF04237,0.2977364659309387
PF00400,PF05708,PF02479,0.2884804606437683
PF00400,PF05716,PF07533,0.2952429950237274
PF00400,PF05719,PF04237,0.2966688275337219
PF00400,PF05721,PF04237,0.29917043447494507
PF00400,PF05731,PF07744,0.29554325342178345
PF00400,PF05787,PF04237,0.2993929982185364
PF00400,PF05867,PF04237,0.29802176356315613
PF00400,PF05874,PF04237,0.29960888624191284
PF00400,PF05903,PF07528,0.29316532611846924
PF00400,PF05991,PF17219,0.2980867028236389
PF00400,PF06079,PF04237,0.2810481786727905
PF00400,PF06098,PF04237,0.2948320806026459
PF00400,PF06237,PF02479,0.2941572368144989
PF00400,PF06399,PF04237,0.29246291518211365
PF00400,PF06469,PF07744,0.29120317101478577
PF00400,PF06485,PF04237,0.2981489598751068
PF00400,PF06487,PF04237,0.2951284945011139
PF00400,PF06524,PF11128,0.2901790142059326
PF00400,PF06607,PF10798,0.2940122187137604
PF00400,PF06608,PF04237,0.2993840277194977
PF00400,PF06640,PF04237,0.29510438442230225
PF00400,PF06721,PF04237,0.2970351576805115
PF00400,PF06752,PF02479,0.29433673620224
PF00400,PF06780,PF02479,0.2995401918888092
PF00400,PF06784,PF11128,0.29605475068092346
PF00400,PF06989,PF04237,0.2974974811077118
PF00400,PF07061,PF12901,0.2898510992527008
PF00400,PF07162,PF16764,0.2884587049484253
PF00400,PF07200,PF17219,0.2916467785835266
PF00400,PF07213,PF04237,0.2979881763458252
PF00400,PF07218,PF04237,0.29994505643844604
PF00400,PF07344,PF04237,0.29592233896255493
PF00400,PF07392,PF04237,0.297552227973938
PF00400,PF07412,PF04237,0.296688973903656
PF00400,PF07458,PF04237,0.2998330295085907
PF00400,PF07484,PF04237,0.297827810049057
PF00400,PF07497,PF04237,0.29554930329322815
PF00400,PF07498,PF04237,0.2929641604423523
PF00400,PF07510,PF04237,0.2995799481868744
PF00400,PF07520,PF02479,0.2929956316947937
PF00400,PF07538,PF02479,0.29724305868148804
PF00400,PF07556,PF04237,0.29744791984558105
PF00400,PF07692,PF04237,0.29946547746658325
PF00400,PF07708,PF04237,0.2972656488418579
PF00400,PF07794,PF02479,0.2979837954044342
PF00400,PF07909,PF13116,0.29824310541152954
PF00400,PF07918,PF04237,0.29612165689468384
PF00400,PF07929,PF04237,0.2936630845069885
PF00400,PF07942,PF11128,0.2717899680137634
PF00400,PF07957,PF04237,0.2989127039909363
PF00400,PF07963,PF04237,0.2957680821418762
PF00400,PF07964,PF04237,0.29823338985443115
PF00400,PF07985,PF04237,0.2770957350730896
PF00400,PF08000,PF04237,0.2987753450870514
PF00400,PF08172,PF07744,0.290196031332016
PF00400,PF08192,PF02479,0.2979997992515564
PF00400,PF08294,PF17219,0.284455269575119
PF00400,PF08310,PF02479,0.29845279455184937
PF00400,PF08377,PF07744,0.29964005947113037
PF00400,PF08383,PF07744,0.2954966425895691
PF00400,PF08433,PF04237,0.2946457266807556
PF00400,PF08450,PF02479,0.28018149733543396
PF00400,PF08496,PF04237,0.2994547486305237
PF00400,PF08545,PF04237,0.29928094148635864
PF00400,PF08579,PF02479,0.29973527789115906
PF00400,PF08587,PF02479,0.29568666219711304
PF00400,PF08588,PF04237,0.2995437979698181
PF00400,PF08593,PF14876,0.27456527948379517
PF00400,PF08627,PF04237,0.29408013820648193
PF00400,PF08632,PF02479,0.2981269359588623
PF00400,PF08639,PF14876,0.2909417748451233
PF00400,PF08650,PF04237,0.294277161359787
PF00400,PF08653,PF04237,0.2988608479499817
PF00400,PF08694,PF04237,0.29641667008399963
PF00400,PF08954,PF10798,0.29125118255615234
PF00400,PF08997,PF07744,0.2969202995300293
PF00400,PF09006,PF02479,0.2956300377845764
PF00400,PF09040,PF02479,0.2995392084121704
PF00400,PF09113,PF04237,0.2955342233181
PF00400,PF09122,PF02479,0.29835546016693115
PF00400,PF09175,PF07744,0.2956775724887848
PF00400,PF09197,PF04237,0.2983497381210327
PF00400,PF09235,PF02479,0.2967768907546997
PF00400,PF09237,PF07533,0.2878676950931549
PF00400,PF09246,PF04237,0.2989221215248108
PF00400,PF09257,PF04237,0.2933841347694397
PF00400,PF09267,PF04237,0.2912123203277588
PF00400,PF09310,PF02479,0.2941926419734955
PF00400,PF09414,PF00963,0.2836396098136902
PF00400,PF09444,PF04237,0.2978975772857666
PF00400,PF09446,PF04237,0.29039937257766724
PF00400,PF09494,PF07744,0.2981336712837219
PF00400,PF09753,PF11128,0.28369849920272827
PF00400,PF09767,PF04237,0.28833842277526855
PF00400,PF09771,PF13116,0.2982771396636963
PF00400,PF09772,PF07744,0.2897953689098358
PF00400,PF09776,PF04237,0.2990325391292572
PF00400,PF09783,PF04237,0.29763445258140564
PF00400,PF09802,PF04237,0.29554539918899536
PF00400,PF09803,PF04237,0.2964487075805664
PF00400,PF09806,PF04237,0.2862507700920105
PF00400,PF09818,PF04237,0.29898297786712646
PF00400,PF09976,PF11128,0.29096856713294983
PF00400,PF09991,PF04237,0.29834771156311035
PF00400,PF10021,PF04237,0.2978951930999756
PF00400,PF10032,PF02479,0.29743561148643494
PF00400,PF10139,PF04237,0.29993659257888794
PF00400,PF10153,PF04237,0.29525431990623474
PF00400,PF10155,PF11750,0.2897181510925293
PF00400,PF10158,PF04237,0.2966017425060272
PF00400,PF10208,PF07744,0.28817659616470337
PF00400,PF10214,PF04237,0.2999999523162842
PF00400,PF10229,PF10335,0.29032957553863525
PF00400,PF10235,PF04237,0.2987041175365448
PF00400,PF10236,PF06831,0.2984216809272766
PF00400,PF10245,PF10798,0.29478830099105835
PF00400,PF10251,PF04237,0.2992802560329437
PF00400,PF10265,PF07744,0.2870217561721802
PF00400,PF10277,PF04237,0.2877655625343323
PF00400,PF10452,PF04237,0.29915523529052734
PF00400,PF10472,PF02479,0.293990820646286
PF00400,PF10490,PF02479,0.29556113481521606
PF00400,PF10647,PF04237,0.29773667454719543
PF00400,PF10793,PF04237,0.2998960316181183
PF00400,PF11002,PF02479,0.2877119183540344
PF00400,PF11176,PF04237,0.2967310845851898
PF00400,PF11221,PF04237,0.2967749238014221
PF00400,PF11267,PF17219,0.29681071639060974
PF00400,PF11291,PF04237,0.29991939663887024
PF00400,PF11360,PF04237,0.2955557703971863
PF00400,PF11362,PF02479,0.2958242893218994
PF00400,PF11369,PF04237,0.2982795238494873
PF00400,PF11410,PF02479,0.2985335886478424
PF00400,PF11421,PF10798,0.27743059396743774
