PFAM ID,Count
PF05987,55
PF08903,1
PF12570,2
PF11678,113
PF08648,26
PF09400,2
PF07795,6
PF09428,5
PF14771,22
PF07894,25
PF12873,4
PF10307,5
PF14025,4
PF11928,16
PF10926,9
PF06465,22
PF09227,4
PF12566,2
PF07159,20
PF11999,1
PF03713,3
PF08643,7
PF11595,6
PF15380,3
PF12396,2
PF07210,3
PF15727,1
PF13863,8
PF08682,2
PF07889,8
PF04765,15
PF07326,7
PF15091,2
PF03754,2
PF03993,18
PF03087,7
PF12447,9
PF04063,7
PF11528,3
PF11880,1
PF07898,4
PF14080,53
PF16353,10
PF13811,18
PF01937,40
PF11001,3
PF06108,7
PF06439,25
PF05571,12
PF07853,2
PF08409,5
PF07946,24
PF14076,16
PF06155,17
PF09951,4
PF13493,12
PF13687,1
PF06549,3
PF12345,8
PF12505,18
PF15389,2
PF11919,20
PF09248,27
PF11084,19
PF13836,1
PF05695,20
PF01956,59
PF12029,2
PF16009,3
PF04685,19
PF09345,15
PF11915,13
PF10030,1
PF06174,51
PF09369,8
PF10991,1
PF08333,14
PF11677,6
PF12394,52
PF04502,20
PF06803,17
PF09331,4
PF11327,7
PF08982,1
PF15466,3
PF12473,30
PF12530,3
PF12053,1
PF15505,4
PF04601,8
PF11935,2
PF07798,18
PF06110,30
PF11175,4
PF17023,9
PF08681,7
PF15363,3
PF12442,3
PF04780,3
PF05867,2
PF05037,4
PF13559,2
PF05078,16
PF14237,4
PF15145,6
PF07339,20
PF04190,11
PF10971,2
PF11954,1
PF07632,32
PF09861,1
PF13026,2
PF15838,4
PF08331,4
PF07561,3
PF12063,7
PF07142,10
PF08338,9
PF11911,13
PF06679,3
PF16401,6
PF15016,2
PF04289,16
PF02582,27
PF04341,4
PF04978,9
PF15488,39
PF12158,5
PF06972,7
PF14953,3
PF09997,1
PF08224,11
PF15118,2
PF12965,3
PF06544,43
PF10179,16
PF14033,19
PF16403,8
PF11019,5
PF11309,15
PF11931,11
PF14800,43
PF10180,6
PF11161,2
PF09391,94
PF05957,62
PF04784,8
PF10302,8
PF04474,32
PF15774,12
PF15742,2
PF06461,22
PF04285,1
PF09939,35
PF12036,23
PF15882,4
PF13373,4
PF07386,2
PF11697,1
PF11815,1
PF07248,2
PF15989,1
PF15248,2
PF15072,8
PF07005,10
PF10020,3
PF09327,1
PF09418,9
PF16118,4
PF13961,96
PF11288,7
PF16338,11
PF14336,4
PF06868,4
PF07082,5
PF13388,2
PF14780,11
PF09994,17
PF10631,2
PF15143,1
PF03891,4
PF13660,10
PF13575,1
PF15767,7
PF11926,2
PF10988,2
PF17002,1
PF10629,6
PF15031,2
PF12015,3
PF16016,68
PF06671,4
PF07816,10
PF15047,1
PF12057,1
PF05421,3
PF04819,18
PF06159,22
PF06592,6
PF15379,1
PF13598,7
PF05018,23
