ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103:PF00457:PF05637:PF13705:PF12697:PF07223:PF01182:PF10294,97,71,39,58,32,885,0.55,0.91,0.4,0.4,0.42,1,1,96,0,917,1.0,0.91,0.01,0.01,0.1
PF00002,PF13676:PF12171:PF07717:PF04146:PF08074:PF12678:PF10258:PF00160:PF00620:PF04434,35,134,24,11,110,869,0.18,0.88,0.69,0.69,0.31,7,6,29,1,978,0.86,0.97,0.17,0.17,0.38
PF00003,PF00497:PF10565:PF02204:PF01985:PF14893:PF12171:PF02488:PF06446:PF02024:PF11415,19,52,12,7,40,955,0.23,0.95,0.63,0.63,0.36,0,0,19,0,995,0,0.98,0.0,0.0,0
PF00004,PF08477:PF12849:PF13388:PF00100:PF03067:PF08757:PF13304:PF00635:PF05517:PF11999,128,75,36,92,39,847,0.48,0.87,0.28,0.28,0.3,0,0,128,0,886,0,0.87,0.0,0.0,0
PF00005,PF02893:PF03101:PF03564:PF13961:PF03732:PF01375:PF13176:PF00610:PF12041:PF06119,125,108,50,75,58,831,0.46,0.87,0.4,0.4,0.36,2,2,123,0,889,1.0,0.88,0.02,0.02,0.12
PF00006,PF00306:PF02204:PF01342:PF02488:PF11341:PF06446:PF14224:PF02024:PF11415:PF14980,31,31,11,20,20,963,0.35,0.96,0.35,0.35,0.33,0,0,31,0,983,0,0.97,0.0,0.0,0
PF00007,PF11630:PF06446:PF13698:PF02488:PF02024:PF11415:PF08092:PF00451:PF08089:PF08396,5,3,0,5,3,1006,0.0,0.99,0.0,0.0,-0.0,0,0,5,0,1009,0,1.0,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594:PF00054:PF01463:PF01382:PF00754:PF12662:PF00354:PF12171,66,77,47,19,30,918,0.61,0.95,0.71,0.71,0.63,4,4,62,0,948,1.0,0.94,0.06,0.06,0.24
PF00010,PF03067:PF09815:PF12259:PF13914:PF07530:PF03824:PF08214:PF10239:PF00635:PF08757,65,59,19,46,40,909,0.32,0.92,0.29,0.29,0.26,0,0,65,0,949,0,0.94,0.0,0.0,0
PF00011,PF10639:PF00436:PF06632:PF14622:PF03969:PF09398:PF14964:PF09949:PF04719:PF00777,14,49,10,4,39,961,0.2,0.96,0.71,0.71,0.37,1,1,13,0,1000,1.0,0.99,0.07,0.07,0.27
PF00012,PF09728:PF04908:PF00808:PF14728:PF03443:PF06283:PF06098:PF10258:PF09733:PF09725,46,54,17,29,37,931,0.31,0.93,0.37,0.37,0.31,0,0,46,0,968,0,0.95,0.0,0.0,0
PF00013,PF09005:PF16274:PF12171:PF12072:PF16544:PF00160:PF07535:PF06602:PF07915:PF16275,46,92,26,20,66,902,0.28,0.92,0.57,0.57,0.36,0,0,46,0,968,0,0.95,0.0,0.0,0
PF00014,PF14625:PF12171:PF00620:PF00160:PF14604:PF08719:PF04181:PF12807:PF06602:PF01985,28,140,20,8,120,866,0.14,0.87,0.71,0.71,0.28,4,2,26,2,984,0.5,0.97,0.07,0.07,0.18
PF00015,PF13879:PF05556:PF01569:PF05678:PF15247:PF04191:PF15018:PF04640:PF02301:PF04231,6,43,2,4,41,967,0.05,0.96,0.33,0.33,0.11,0,0,6,0,1008,0,0.99,0.0,0.0,0
PF00016,PF14980:PF11341:PF02425:PF07589:PF09122:PF15696:PF04370:PF15463:PF16851:PF02488,4,4,0,4,4,1006,0.0,0.99,0.0,0.0,-0.0,0,0,4,0,1010,0,1.0,0.0,0.0,0
PF00017,PF05406:PF02902:PF14521:PF00177:PF00139:PF01501:PF00929:PF07762:PF00379:PF09814,53,111,26,27,85,876,0.23,0.89,0.49,0.49,0.29,6,6,47,0,961,1.0,0.95,0.11,0.11,0.33
PF00018,PF14604:PF00620:PF12171:PF03732:PF04181:PF02023:PF07535:PF17123:PF12807:PF08824,73,115,42,31,73,868,0.37,0.9,0.58,0.58,0.41,2,2,71,0,941,1.0,0.93,0.03,0.03,0.16
PF00019,PF11341:PF02025:PF15696:PF15337:PF12628:PF02488:PF03544:PF02425:PF04370:PF05932,15,10,0,15,10,989,0.0,0.98,0.0,0.0,-0.01,0,0,15,0,999,0,0.99,0.0,0.0,0
PF00020,PF00531:PF01342:PF13352:PF02365:PF04403:PF13873:PF04424:PF07535:PF13961:PF16016,18,60,9,9,51,945,0.15,0.94,0.5,0.5,0.25,1,1,17,0,996,1.0,0.98,0.06,0.06,0.23
PF00021,PF07762:PF00379:PF00929:PF09814:PF01655:PF14521:PF00488:PF10523:PF08294:PF11976,4,81,2,2,79,931,0.02,0.92,0.5,0.5,0.1,3,0,4,3,1007,0.0,0.99,0.0,0.0,-0.0
PF00022,PF00654:PF08214:PF09815:PF03133:PF02338:PF15913:PF07721:PF12224:PF01532:PF13188,52,93,26,26,67,895,0.28,0.91,0.5,0.5,0.33,2,2,50,0,962,1.0,0.95,0.04,0.04,0.19
PF00023,PF13606:PF11929:PF16553:PF11904:PF07525:PF07693:PF15898:PF13962:PF03496:PF11900,79,59,36,43,23,912,0.61,0.93,0.46,0.46,0.49,1,1,78,0,935,1.0,0.92,0.01,0.01,0.11
PF00024,PF04181:PF14244:PF12807:PF02023:PF13961:PF05048:PF12171:PF08614:PF03732:PF05380,41,82,20,21,62,911,0.24,0.92,0.49,0.49,0.31,3,3,38,0,973,1.0,0.96,0.07,0.07,0.27
PF00025,PF10523:PF07762:PF09814:PF03914:PF09362:PF00929:PF05653:PF14521:PF01529:PF00319,46,95,26,20,69,899,0.27,0.91,0.57,0.57,0.35,3,2,44,1,967,0.67,0.96,0.04,0.04,0.16
PF00026,PF08016:PF07762:PF10523:PF00929:PF14521:PF09814:PF07245:PF08613:PF02301:PF14719,43,74,16,27,58,913,0.22,0.92,0.37,0.37,0.24,1,1,42,0,971,1.0,0.96,0.02,0.02,0.15
PF00027,PF10536:PF14719:PF03359:PF00566:PF08719:PF07721:PF01062:PF08016:PF00176:PF00620,51,142,31,20,111,852,0.22,0.87,0.61,0.61,0.31,5,5,46,0,963,1.0,0.95,0.1,0.1,0.31
PF00028,PF15974:PF01049:PF16319:PF02759:PF12807:PF14604:PF12171:PF04181:PF00610:PF02023,37,89,22,15,67,910,0.25,0.92,0.59,0.59,0.35,0,0,37,0,977,0,0.96,0.0,0.0,0
PF00029,PF02076:PF03619:PF02116:PF02182:PF12298:PF05301:PF15250:PF04831:PF06775:PF15991,4,36,2,2,34,976,0.06,0.96,0.5,0.5,0.16,0,0,4,0,1010,0,1.0,0.0,0.0,0
PF00030,PF15327:PF02204:PF12171:PF11341:PF02025:PF14224:PF14980:PF02425:PF12628:PF04370,11,42,5,6,37,966,0.12,0.96,0.45,0.45,0.22,0,0,11,0,1003,0,0.99,0.0,0.0,0
PF00031,PF03067:PF08757:PF00635:PF08016:PF08214:PF03133:PF14719:PF12259:PF10239:PF07530,5,73,3,2,70,939,0.04,0.93,0.6,0.6,0.14,0,0,5,0,1009,0,1.0,0.0,0.0,0
PF00032,PF01253:PF04568:PF11790:PF02826:PF10601:PF09341:PF00203:PF06964:PF00584:PF14989,3,53,1,2,52,959,0.02,0.95,0.33,0.33,0.07,0,0,3,0,1011,0,1.0,0.0,0.0,0
PF00033,PF09754:PF17053:PF04716:PF01668:PF15842:PF15503:PF09056:PF02661:PF10340:PF01470,5,25,1,4,24,985,0.04,0.97,0.2,0.2,0.08,0,0,5,0,1009,0,1.0,0.0,0.0,0
PF00034,PF04707:PF02902:PF07062:PF01501:PF10601:PF16489:PF10639:PF08294:PF01521:PF03969,10,84,8,2,76,928,0.1,0.92,0.8,0.8,0.26,1,1,9,0,1004,1.0,0.99,0.1,0.1,0.31
PF00035,PF12171:PF00160:PF03732:PF00620:PF03359:PF13676:PF10263:PF10536:PF01532:PF08719,32,140,25,7,115,867,0.18,0.88,0.78,0.78,0.34,7,5,27,2,980,0.71,0.97,0.16,0.16,0.33
PF00036,PF13833:PF13202:PF13405:PF12171:PF02204:PF07720:PF00160:PF14244:PF15913:PF04181,21,132,19,2,113,880,0.14,0.89,0.9,0.9,0.33,7,7,14,0,993,1.0,0.99,0.33,0.33,0.57
PF00037,PF05572:PF15785:PF13360:PF07173:PF12145:PF00619:PF13667:PF12814:PF00686:PF14214,5,70,2,3,68,941,0.03,0.93,0.4,0.4,0.09,0,0,5,0,1009,0,1.0,0.0,0.0,0
PF00038,PF15247:PF16012:PF00687:PF10419:PF04679:PF12678:PF01670:PF14857:PF08016:PF03036,15,64,9,6,55,944,0.14,0.94,0.6,0.6,0.27,0,0,15,0,999,0,0.99,0.0,0.0,0
PF00039,PF07173:PF02010:PF05572:PF15739:PF08242:PF12765:PF01043:PF12862:PF12814:PF13251,3,48,1,2,47,964,0.02,0.95,0.33,0.33,0.07,0,0,3,0,1011,0,1.0,0.0,0.0,0
PF00040,PF08719:PF07721:PF01547:PF06398:PF00354:PF10528:PF07717:PF00620:PF08016:PF14244,10,112,6,4,106,898,0.05,0.89,0.6,0.6,0.16,5,3,7,2,1002,0.6,0.99,0.3,0.3,0.42
PF00041,PF01682:PF16066:PF00102:PF12171:PF00147:PF04181:PF14604:PF12807:PF02023:PF02759,68,112,43,25,69,877,0.38,0.91,0.63,0.63,0.45,4,4,64,0,946,1.0,0.94,0.06,0.06,0.23
PF00042,PF00338:PF04199:PF15320:PF01791:PF10185:PF01470:PF12311:PF03657:PF09419:PF01625,15,42,8,7,34,965,0.19,0.96,0.53,0.53,0.3,0,0,15,0,999,0,0.99,0.0,0.0,0
PF00043,PF14497:PF00647:PF00620:PF12171:PF08074:PF08719:PF01483:PF00160:PF07717:PF04592,33,133,22,11,111,870,0.17,0.88,0.67,0.67,0.29,7,6,27,1,980,0.86,0.97,0.18,0.18,0.39
PF00044,PF10206:PF08642:PF06925:PF16180:PF13971:PF03765:PF02123:PF01710:PF07103:PF10210,13,31,6,7,25,976,0.19,0.97,0.46,0.46,0.29,0,0,13,0,1001,0,0.99,0.0,0.0,0
PF00045,PF04886:PF15696:PF15337:PF11341:PF02025:PF02488:PF12628:PF03544:PF04370:PF02024,13,17,6,7,11,990,0.35,0.98,0.46,0.46,0.39,0,0,13,0,1001,0,0.99,0.0,0.0,0
PF00046,PF13676:PF04906:PF03761:PF04801:PF03824:PF05301:PF01532:PF06136:PF10204:PF06413,70,51,24,46,27,917,0.47,0.93,0.34,0.34,0.36,0,0,70,0,944,0,0.93,0.0,0.0,0
PF00047,PF13895:PF12171:PF01342:PF16016:PF07535:PF04403:PF02204:PF00610:PF13174:PF13873,27,81,21,6,60,927,0.26,0.93,0.78,0.78,0.43,2,2,25,0,987,1.0,0.98,0.07,0.07,0.27
PF00048,PF13564:PF10276:PF15046:PF09802:PF03298:PF17215:PF15003:PF01015:PF13933:PF04059,6,23,3,3,20,988,0.13,0.98,0.5,0.5,0.25,0,0,6,0,1008,0,0.99,0.0,0.0,0
PF00049,PF06027:PF15251:PF02301:PF15247:PF09815:PF10419:PF07717:PF08016:PF03133:PF04679,3,88,3,0,85,926,0.03,0.92,1.0,1.0,0.18,0,0,3,0,1011,0,1.0,0.0,0.0,0
PF00050,PF07648:PF09289:PF12171:PF00160:PF14244:PF07720:PF15913:PF04181:PF02204:PF07721,20,107,14,6,93,901,0.13,0.9,0.7,0.7,0.27,1,1,19,0,994,1.0,0.98,0.05,0.05,0.22
PF00051,PF16977:PF07204:PF12171:PF00620:PF00354:PF14244:PF04181:PF12807:PF08719:PF07721,19,102,14,5,88,907,0.14,0.91,0.74,0.74,0.29,0,0,19,0,995,0,0.98,0.0,0.0,0
PF00052,PF06008:PF00055:PF02488:PF02024:PF11415:PF06446:PF08092:PF00451:PF08089:PF08396,13,23,11,2,12,989,0.48,0.99,0.85,0.85,0.63,0,0,13,0,1001,0,0.99,0.0,0.0,0
PF00053,PF00052:PF00055:PF00054:PF06008:PF12171:PF02759:PF14604:PF00620:PF12807:PF13174,31,117,28,3,89,894,0.24,0.91,0.9,0.9,0.44,3,3,28,0,983,1.0,0.97,0.1,0.1,0.31
PF00054,PF07721:PF08016:PF01547:PF08719:PF03133:PF00635:PF09815:PF07245:PF08214:PF00654,17,89,11,6,78,919,0.12,0.92,0.65,0.65,0.26,3,0,17,3,994,0.0,0.98,0.0,0.0,-0.01
PF00055,PF13961:PF05585:PF03546:PF04843:PF10579:PF05380:PF08284:PF06918:PF01375:PF05048,20,45,10,10,35,959,0.22,0.96,0.5,0.5,0.31,0,0,20,0,994,0,0.98,0.0,0.0,0
PF00056,PF14671:PF05831:PF07470:PF12824:PF05677:PF00322:PF05631:PF03629:PF06984:PF04185,16,38,7,9,31,967,0.18,0.96,0.44,0.44,0.27,0,0,16,0,998,0,0.98,0.0,0.0,0
PF00057,PF16915:PF01823:PF11630:PF02488:PF06446:PF15696:PF11341:PF13698:PF15337:PF14224,44,17,8,36,9,961,0.47,0.96,0.18,0.18,0.27,0,0,44,0,970,0,0.96,0.0,0.0,0
PF00058,PF02488:PF15696:PF09249:PF14025:PF15337:PF06446:PF02024:PF11415:PF07142:PF11341,20,8,2,18,6,988,0.25,0.98,0.1,0.1,0.15,0,0,20,0,994,0,0.98,0.0,0.0,0
PF00059,PF07721:PF07245:PF01902:PF08016:PF01547:PF01661:PF00176:PF08719:PF08174:PF09507,55,97,30,25,67,892,0.31,0.91,0.55,0.55,0.37,2,2,53,0,959,1.0,0.95,0.04,0.04,0.19
PF00060,PF08016:PF14719:PF03167:PF02301:PF04679:PF10419:PF15247:PF00635:PF03759:PF03133,34,75,16,18,59,921,0.21,0.92,0.47,0.47,0.28,2,1,33,1,979,0.5,0.97,0.03,0.03,0.12
PF00061,PF05426:PF01963:PF13468:PF15680:PF04826:PF01933:PF01196:PF09588:PF00494:PF06632,15,39,8,7,31,968,0.21,0.96,0.53,0.53,0.32,0,0,15,0,999,0,0.99,0.0,0.0,0
PF00062,PF07762:PF09814:PF00379:PF00929:PF14521:PF04707:PF01655:PF10523:PF01501:PF08294,7,78,5,2,73,934,0.06,0.93,0.71,0.71,0.2,2,1,6,1,1006,0.5,0.99,0.14,0.14,0.26
PF00063,PF01107:PF14858:PF12820:PF06398:PF01375:PF15785:PF12245:PF03732:PF14240:PF02939,50,46,14,36,32,932,0.3,0.93,0.28,0.28,0.26,0,0,50,0,964,0,0.95,0.0,0.0,0
PF00066,PF06446:PF02488:PF13698:PF02024:PF11415:PF09249:PF08092:PF00451:PF08089:PF14025,9,3,0,9,3,1002,0.0,0.99,0.0,0.0,-0.01,0,0,9,0,1005,0,0.99,0.0,0.0,0
PF00067,PF11721:PF13673:PF08923:PF04241:PF05088:PF04103:PF01789:PF16815:PF00398:PF03417,118,40,23,95,17,879,0.57,0.89,0.19,0.19,0.29,1,1,117,0,896,1.0,0.88,0.01,0.01,0.09
PF00068,PF12274:PF15364:PF12697:PF02520:PF07841:PF00398:PF00964:PF04826:PF14437:PF04103,4,58,1,3,57,953,0.02,0.94,0.25,0.25,0.05,0,0,4,0,1010,0,1.0,0.0,0.0,0
