ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF13306:PF01348:PF08983,257,77,45,212,32,2069,0.58,0.9,0.18,0.18,0.28,10,10,247,0,2101,1.0,0.9,0.04,0.04,0.19
PF00002,PF01825:PF02793:PF16489,102,77,65,37,12,2244,0.84,0.98,0.64,0.64,0.72,31,29,73,2,2254,0.94,0.97,0.28,0.28,0.51
PF00003,PF00497:PF07562:PF01547,57,75,39,18,36,2265,0.52,0.98,0.68,0.68,0.59,25,20,37,5,2296,0.8,0.98,0.35,0.35,0.52
PF00004,PF12037:PF05362:PF14629,328,52,47,281,5,2025,0.9,0.88,0.14,0.14,0.33,3,3,325,0,2030,1.0,0.86,0.01,0.01,0.09
PF00005,PF06422:PF06472:PF14510,342,49,44,298,5,2011,0.9,0.87,0.13,0.13,0.31,26,26,316,0,2016,1.0,0.87,0.08,0.08,0.26
PF00006,PF00128:PF04389:PF02874,92,178,81,11,97,2169,0.46,0.95,0.88,0.88,0.61,45,27,65,18,2248,0.6,0.96,0.29,0.29,0.4
PF00007,PF00219:PF00093:PF07452,19,50,12,7,38,2301,0.24,0.98,0.63,0.63,0.38,14,6,13,8,2331,0.43,0.99,0.32,0.32,0.36
PF00008,PF12661:PF00028:PF01382,158,138,102,56,36,2164,0.74,0.96,0.65,0.65,0.67,41,41,117,0,2200,1.0,0.95,0.26,0.26,0.5
PF00010,PF08447:PF11413:PF08815,183,59,36,147,23,2152,0.61,0.93,0.2,0.2,0.32,7,7,176,0,2175,1.0,0.93,0.04,0.04,0.19
PF00011,PF00525:PF01161:PF12483,55,62,20,35,42,2261,0.32,0.97,0.36,0.36,0.33,2,2,53,0,2303,1.0,0.98,0.04,0.04,0.19
PF00012,PF10712:PF06723:PF10268,126,22,14,112,8,2224,0.64,0.95,0.11,0.11,0.25,4,4,122,0,2232,1.0,0.95,0.03,0.03,0.17
PF00013,PF16274:PF16544:PF08067,131,13,12,119,1,2226,0.92,0.95,0.09,0.09,0.28,1,1,130,0,2227,1.0,0.94,0.01,0.01,0.08
PF00014,PF10223:PF15761:PF00095,83,56,28,55,28,2247,0.5,0.96,0.34,0.34,0.39,5,5,78,0,2275,1.0,0.97,0.06,0.06,0.24
PF00015,PF02203:PF00563:PF00672,20,40,16,4,24,2314,0.4,0.99,0.8,0.8,0.56,16,11,9,5,2333,0.69,0.99,0.55,0.55,0.61
PF00016,PF02788:PF01328:PF02244,10,59,5,5,54,2294,0.08,0.97,0.5,0.5,0.2,11,1,9,10,2338,0.09,0.99,0.1,0.1,0.09
PF00017,PF00779:PF00130:PF00387,146,134,69,77,65,2147,0.51,0.94,0.47,0.47,0.46,23,19,127,4,2208,0.83,0.94,0.13,0.13,0.31
PF00018,PF14604:PF07653:PF08824,203,178,111,92,67,2088,0.62,0.93,0.55,0.55,0.55,67,63,140,4,2151,0.94,0.94,0.31,0.31,0.52
PF00019,PF00688:PF10156:PF09771,42,31,26,16,5,2311,0.84,0.99,0.62,0.62,0.72,8,8,34,0,2316,1.0,0.99,0.19,0.19,0.43
PF00020,PF09034:PF01335:PF15734,44,31,15,29,16,2298,0.48,0.98,0.34,0.34,0.4,3,2,42,1,2313,0.67,0.98,0.05,0.05,0.17
PF00021,PF02988:PF03821:PF01457,13,23,7,6,16,2329,0.3,0.99,0.54,0.54,0.4,0,0,13,0,2345,0,0.99,0.0,0.0,0
PF00022,PF10357:PF16840:PF15361,131,21,15,116,6,2221,0.71,0.95,0.11,0.11,0.27,1,1,130,0,2227,1.0,0.94,0.01,0.01,0.08
PF00023,PF12796:PF13606:PF00710,205,480,198,7,282,1871,0.41,0.88,0.97,0.97,0.58,100,72,133,28,2125,0.72,0.93,0.35,0.35,0.47
PF00024,PF08277:PF14295:PF00051,102,98,55,47,43,2213,0.56,0.96,0.54,0.54,0.53,26,25,77,1,2255,0.96,0.97,0.25,0.25,0.48
PF00025,PF15840:PF14634:PF12273,128,37,19,109,18,2212,0.51,0.95,0.15,0.15,0.26,4,4,124,0,2230,1.0,0.95,0.03,0.03,0.17
PF00026,PF07966:PF14543:PF00759,113,73,36,77,37,2208,0.49,0.95,0.32,0.32,0.37,18,14,99,4,2241,0.78,0.96,0.12,0.12,0.3
PF00027,PF08412:PF13545:PF13426,150,64,38,112,26,2182,0.59,0.94,0.25,0.25,0.36,11,11,139,0,2208,1.0,0.94,0.07,0.07,0.26
PF00028,PF01049:PF02210:PF07953,97,84,49,48,35,2226,0.58,0.96,0.51,0.51,0.52,14,11,86,3,2258,0.79,0.96,0.11,0.11,0.29
PF00029,PF03508:PF03509:PF16791,16,3,3,13,0,2342,1.0,0.99,0.19,0.19,0.43,0,0,16,0,2342,0,0.99,0.0,0.0,0
PF00030,PF03762:PF15048:PF10044,36,13,2,34,11,2311,0.15,0.98,0.06,0.06,0.08,0,0,36,0,2322,0,0.98,0.0,0.0,0
PF00031,PF16845:PF00112:PF15371,18,112,14,4,98,2242,0.12,0.96,0.78,0.78,0.3,5,3,15,2,2338,0.6,0.99,0.17,0.17,0.31
PF00032,PF03980:PF08561:PF01185,19,31,4,15,27,2312,0.13,0.98,0.21,0.21,0.16,3,0,19,3,2336,0.0,0.99,0.0,0.0,-0.0
PF00033,PF00115:PF13631:PF00119,20,35,17,3,18,2320,0.49,0.99,0.85,0.85,0.64,14,11,9,3,2335,0.79,0.99,0.55,0.55,0.66
PF00034,PF08752:PF16381:PF06375,32,20,6,26,14,2312,0.3,0.98,0.19,0.19,0.23,15,5,27,10,2316,0.33,0.98,0.16,0.16,0.22
PF00035,PF01207:PF14622:PF00636,95,105,48,47,57,2206,0.46,0.96,0.51,0.51,0.46,33,26,69,7,2256,0.79,0.97,0.27,0.27,0.45
PF00036,PF13833:PF13405:PF13499,66,285,57,9,228,2064,0.2,0.9,0.86,0.86,0.39,97,48,18,49,2243,0.49,0.97,0.73,0.73,0.59
PF00037,PF04068:PF14510:PF02256,24,66,21,3,45,2289,0.32,0.98,0.88,0.88,0.52,13,8,16,5,2329,0.62,0.99,0.33,0.33,0.45
PF00038,PF10042:PF16208:PF00932,49,21,17,32,4,2305,0.81,0.98,0.35,0.35,0.52,3,3,46,0,2309,1.0,0.98,0.06,0.06,0.25
PF00039,PF00040:PF09396:PF00878,7,39,5,2,34,2317,0.13,0.98,0.71,0.71,0.3,10,4,3,6,2345,0.4,1.0,0.57,0.57,0.48
PF00040,PF00039:PF00878:PF09396,35,17,11,24,6,2317,0.65,0.99,0.31,0.31,0.45,4,4,31,0,2323,1.0,0.99,0.11,0.11,0.34
PF00041,PF12453:PF12567:PF07965,177,11,9,168,2,2179,0.82,0.93,0.05,0.05,0.19,4,4,173,0,2181,1.0,0.93,0.02,0.02,0.14
PF00042,PF00175:PF09791:PF00499,45,123,28,17,95,2218,0.23,0.95,0.62,0.62,0.36,10,6,39,4,2309,0.6,0.98,0.13,0.13,0.28
PF00043,PF14497:PF04399:PF13417,91,122,66,25,56,2211,0.54,0.97,0.73,0.73,0.61,43,35,56,8,2259,0.81,0.97,0.38,0.38,0.55
PF00044,PF02672:PF02800:PF00121,43,54,31,12,23,2292,0.57,0.99,0.72,0.72,0.64,13,11,32,2,2313,0.85,0.99,0.26,0.26,0.46
PF00045,PF01471:PF08924:PF15225,47,52,37,10,15,2296,0.71,0.99,0.79,0.79,0.74,4,4,43,0,2311,1.0,0.98,0.09,0.09,0.29
PF00046,PF12403:PF02376:PF12045,188,21,20,168,1,2169,0.95,0.93,0.11,0.11,0.31,2,2,186,0,2170,1.0,0.92,0.01,0.01,0.1
PF00047,PF13895:PF03921:PF01403,71,89,46,25,43,2244,0.52,0.97,0.65,0.65,0.56,17,15,56,2,2285,0.88,0.98,0.21,0.21,0.42
PF00048,PF13841:PF01294:PF14798,23,15,6,17,9,2326,0.4,0.99,0.26,0.26,0.32,1,1,22,0,2335,1.0,0.99,0.04,0.04,0.21
PF00049,PF08365:PF00375:PF10261,13,37,7,6,30,2315,0.19,0.98,0.54,0.54,0.31,1,1,12,0,2345,1.0,0.99,0.08,0.08,0.28
PF00050,PF09289:PF07648:PF01469,42,53,24,18,29,2287,0.45,0.98,0.57,0.57,0.5,8,5,37,3,2313,0.62,0.98,0.12,0.12,0.27
PF00051,PF01392:PF09396:PF16030,57,56,34,23,22,2279,0.61,0.98,0.6,0.6,0.59,6,6,51,0,2301,1.0,0.98,0.11,0.11,0.32
PF00052,PF15002:PF06009:PF00054,31,53,18,13,35,2292,0.34,0.98,0.58,0.58,0.43,10,6,25,4,2323,0.6,0.99,0.19,0.19,0.34
PF00053,PF00028:PF16489:PF12661,76,141,58,18,83,2199,0.41,0.96,0.76,0.76,0.54,52,37,39,15,2267,0.71,0.98,0.49,0.49,0.58
PF00054,PF02210:PF01049:PF06009,39,80,33,6,47,2272,0.41,0.98,0.85,0.85,0.58,17,10,29,7,2312,0.59,0.98,0.26,0.26,0.38
PF00055,PF06008:PF06009:PF02210,51,77,26,25,51,2256,0.34,0.97,0.51,0.51,0.4,8,7,44,1,2306,0.88,0.98,0.14,0.14,0.34
PF00056,PF02866:PF07258:PF01731,47,65,36,11,29,2282,0.55,0.98,0.77,0.77,0.64,7,6,41,1,2310,0.86,0.98,0.13,0.13,0.33
PF00057,PF16472:PF07593:PF07679,135,182,70,65,112,2111,0.38,0.92,0.52,0.52,0.41,9,9,126,0,2223,1.0,0.95,0.07,0.07,0.25
PF00058,PF16472:PF12662:PF07593,49,44,20,29,24,2285,0.45,0.98,0.41,0.41,0.42,10,10,39,0,2309,1.0,0.98,0.2,0.2,0.45
PF00059,PF08016:PF00801:PF15481,150,63,34,116,29,2179,0.54,0.94,0.23,0.23,0.32,11,8,142,3,2205,0.73,0.94,0.05,0.05,0.19
PF00060,PF10613:PF00497:PF10565,87,86,60,27,26,2245,0.7,0.98,0.69,0.69,0.68,22,22,65,0,2271,1.0,0.97,0.25,0.25,0.5
PF00061,PF08212:PF03973:PF05434,41,25,9,32,16,2301,0.36,0.98,0.22,0.22,0.27,2,2,39,0,2317,1.0,0.98,0.05,0.05,0.22
PF00062,PF06189:PF00223:PF05742,19,31,9,10,22,2317,0.29,0.99,0.47,0.47,0.36,5,0,19,5,2334,0.0,0.99,0.0,0.0,-0.0
PF00063,PF01576:PF02736:PF06017,143,92,78,65,14,2201,0.85,0.97,0.55,0.55,0.66,39,38,105,1,2214,0.97,0.96,0.27,0.27,0.5
PF00066,PF06816:PF17101:PF17103,27,22,18,9,4,2327,0.82,0.99,0.67,0.67,0.74,7,7,20,0,2331,1.0,0.99,0.26,0.26,0.51
PF00067,PF00667:PF00258:PF13813,333,88,67,266,21,2004,0.76,0.88,0.2,0.2,0.35,49,40,293,9,2016,0.82,0.87,0.12,0.12,0.28
PF00068,PF09777:PF16906:PF05823,16,33,3,13,30,2312,0.09,0.98,0.19,0.19,0.12,1,1,15,0,2342,1.0,0.99,0.06,0.06,0.25
PF00069,PF07714:PF00314:PF00139,689,365,279,410,86,1583,0.76,0.79,0.4,0.4,0.44,42,42,647,0,1669,1.0,0.73,0.06,0.06,0.21
PF00070,PF07681:PF01654:PF14163,7,11,4,3,7,2344,0.36,1.0,0.57,0.57,0.45,3,2,5,1,2350,0.67,1.0,0.29,0.29,0.44
PF00071,PF00255:PF01015:PF10149,281,52,42,239,10,2067,0.81,0.89,0.15,0.15,0.32,11,11,270,0,2077,1.0,0.89,0.04,0.04,0.19
