ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047,131,10,6,125,4,868,0.6,0.87,0.05,0.05,0.14,10,6,125,4,868,0.6,0.87,0.05,0.05,0.14
PF00002,PF13676,56,21,12,44,9,938,0.57,0.95,0.21,0.21,0.33,21,12,44,9,938,0.57,0.95,0.21,0.21,0.33
PF00003,PF00497,32,28,15,17,13,958,0.54,0.97,0.47,0.47,0.49,28,15,17,13,958,0.54,0.97,0.47,0.47,0.49
PF00004,PF08477,155,30,20,135,10,838,0.67,0.86,0.13,0.13,0.25,30,20,135,10,838,0.67,0.86,0.13,0.13,0.25
PF00005,PF02893,165,33,19,146,14,824,0.58,0.84,0.12,0.12,0.2,33,19,146,14,824,0.58,0.84,0.12,0.12,0.2
PF00006,PF00306,46,12,11,35,1,956,0.92,0.96,0.24,0.24,0.46,12,11,35,1,956,0.92,0.96,0.24,0.24,0.46
PF00007,PF11630,9,0,0,9,0,994,0,0.99,0.0,0.0,0,0,0,9,0,994,0,0.99,0.0,0.0,0
PF00008,PF12661,76,41,37,39,4,923,0.9,0.96,0.49,0.49,0.64,41,37,39,4,923,0.9,0.96,0.49,0.49,0.64
PF00010,PF03067,99,19,11,88,8,896,0.58,0.9,0.11,0.11,0.22,19,11,88,8,896,0.58,0.9,0.11,0.11,0.22
PF00011,PF10639,34,14,5,29,9,960,0.36,0.96,0.15,0.15,0.21,14,5,29,9,960,0.36,0.96,0.15,0.15,0.21
PF00012,PF09728,69,10,5,64,5,929,0.5,0.93,0.07,0.07,0.17,10,5,64,5,929,0.5,0.93,0.07,0.07,0.17
PF00013,PF09005,70,8,8,62,0,933,1.0,0.94,0.11,0.11,0.33,8,8,62,0,933,1.0,0.94,0.11,0.11,0.33
PF00014,PF14625,47,12,12,35,0,956,1.0,0.97,0.26,0.26,0.5,12,12,35,0,956,1.0,0.97,0.26,0.26,0.5
PF00015,PF13879,12,10,2,10,8,983,0.2,0.98,0.17,0.17,0.17,10,2,10,8,983,0.2,0.98,0.17,0.17,0.17
PF00016,PF14980,5,0,0,5,0,998,0,1.0,0.0,0.0,0,0,0,5,0,998,0,1.0,0.0,0.0,0
PF00017,PF05406,73,23,8,65,15,915,0.35,0.92,0.11,0.11,0.16,23,8,65,15,915,0.35,0.92,0.11,0.11,0.16
PF00018,PF14604,97,65,49,48,16,890,0.75,0.94,0.51,0.51,0.59,65,49,48,16,890,0.75,0.94,0.51,0.51,0.59
PF00019,PF11341,20,2,0,20,2,981,0.0,0.98,0.0,0.0,-0.01,2,0,20,2,981,0.0,0.98,0.0,0.0,-0.01
PF00020,PF00531,21,39,14,7,25,957,0.36,0.97,0.67,0.67,0.47,39,14,7,25,957,0.36,0.97,0.67,0.67,0.47
PF00021,PF07762,5,16,0,5,16,982,0.0,0.98,0.0,0.0,-0.01,16,0,5,16,982,0.0,0.98,0.0,0.0,-0.01
PF00022,PF00654,59,33,13,46,20,924,0.39,0.93,0.22,0.22,0.26,33,13,46,20,924,0.39,0.93,0.22,0.22,0.26
PF00023,PF13606,108,49,36,72,13,882,0.73,0.92,0.33,0.33,0.46,49,36,72,13,882,0.73,0.92,0.33,0.33,0.46
PF00024,PF04181,52,8,4,48,4,947,0.5,0.95,0.08,0.08,0.18,8,4,48,4,947,0.5,0.95,0.08,0.08,0.18
PF00025,PF10523,64,10,6,58,4,935,0.6,0.94,0.09,0.09,0.22,10,6,58,4,935,0.6,0.94,0.09,0.09,0.22
PF00026,PF08016,58,28,9,49,19,926,0.32,0.93,0.16,0.16,0.19,28,9,49,19,926,0.32,0.93,0.16,0.16,0.19
PF00027,PF10536,83,22,13,70,9,911,0.59,0.92,0.16,0.16,0.28,22,13,70,9,911,0.59,0.92,0.16,0.16,0.28
