ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103:PF00457:PF05637,257,84,52,205,32,2069,0.62,0.9,0.2,0.2,0.31,6,6,251,0,2101,1.0,0.89,0.02,0.02,0.14
PF00002,PF13676:PF12171:PF07717:PF04146:PF08074,102,207,58,44,149,2107,0.28,0.92,0.57,0.57,0.36,34,24,78,10,2246,0.71,0.96,0.24,0.24,0.39
PF00003,PF00497:PF10565:PF02204:PF01985:PF14893,57,95,32,25,63,2238,0.34,0.96,0.56,0.56,0.42,10,10,47,0,2301,1.0,0.98,0.18,0.18,0.41
PF00004,PF08477:PF12849:PF13388:PF00100:PF03067,328,160,86,242,74,1956,0.54,0.87,0.26,0.26,0.31,11,11,317,0,2030,1.0,0.87,0.03,0.03,0.17
PF00005,PF02893:PF03101:PF03564:PF13961:PF03732,342,206,116,226,90,1926,0.56,0.87,0.34,0.34,0.37,25,24,318,1,2015,0.96,0.86,0.07,0.07,0.24
PF00006,PF00306:PF02204:PF01342:PF02488:PF11341,92,90,40,52,50,2216,0.44,0.96,0.43,0.43,0.42,1,1,91,0,2266,1.0,0.96,0.01,0.01,0.1
PF00007,PF11630:PF06446:PF13698:PF02488:PF02024,19,4,1,18,3,2336,0.25,0.99,0.05,0.05,0.11,0,0,19,0,2339,0,0.99,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594:PF00054:PF01463,158,103,88,70,15,2185,0.85,0.96,0.56,0.56,0.67,13,13,145,0,2200,1.0,0.94,0.08,0.08,0.28
PF00010,PF03067:PF09815:PF12259:PF13914:PF07530,183,83,37,146,46,2129,0.45,0.92,0.2,0.2,0.26,3,3,180,0,2175,1.0,0.92,0.02,0.02,0.12
PF00011,PF10639:PF00436:PF06632:PF14622:PF03969,55,95,29,26,66,2237,0.31,0.96,0.53,0.53,0.38,8,6,49,2,2301,0.75,0.98,0.11,0.11,0.28
PF00012,PF09728:PF04908:PF00808:PF14728:PF03443,126,137,50,76,87,2145,0.36,0.93,0.4,0.4,0.34,17,17,109,0,2232,1.0,0.95,0.13,0.13,0.36
PF00013,PF09005:PF16274:PF12171:PF12072:PF16544,131,92,52,79,40,2187,0.57,0.95,0.4,0.4,0.45,2,2,129,0,2227,1.0,0.95,0.02,0.02,0.12
PF00014,PF14625:PF12171:PF00620:PF00160:PF14604,83,328,56,27,272,2003,0.17,0.87,0.67,0.67,0.3,54,27,56,27,2248,0.5,0.96,0.33,0.33,0.39
PF00015,PF13879:PF05556:PF01569:PF05678:PF15247,20,107,10,10,97,2241,0.09,0.95,0.5,0.5,0.2,4,2,18,2,2336,0.5,0.99,0.1,0.1,0.22
PF00016,PF14980:PF11341:PF02425:PF07589:PF09122,10,5,0,10,5,2343,0.0,0.99,0.0,0.0,-0.0,0,0,10,0,2348,0,1.0,0.0,0.0,0
PF00017,PF05406:PF02902:PF14521:PF00177:PF00139,146,191,54,92,137,2075,0.28,0.9,0.37,0.37,0.27,24,22,124,2,2210,0.92,0.95,0.15,0.15,0.36
PF00018,PF14604:PF00620:PF12171:PF03732:PF04181,203,302,122,81,180,1975,0.4,0.89,0.6,0.6,0.43,47,45,158,2,2153,0.96,0.93,0.22,0.22,0.44
PF00019,PF11341:PF02025:PF15696:PF15337:PF12628,42,18,3,39,15,2301,0.17,0.98,0.07,0.07,0.1,0,0,42,0,2316,0,0.98,0.0,0.0,0
PF00020,PF00531:PF01342:PF13352:PF02365:PF04403,44,108,24,20,84,2230,0.22,0.96,0.55,0.55,0.33,6,3,41,3,2311,0.5,0.98,0.07,0.07,0.18
PF00021,PF07762:PF00379:PF00929:PF09814:PF01655,13,161,7,6,154,2191,0.04,0.93,0.54,0.54,0.14,15,1,12,14,2331,0.07,0.99,0.08,0.08,0.07
PF00022,PF00654:PF08214:PF09815:PF03133:PF02338,131,218,67,64,151,2076,0.31,0.91,0.51,0.51,0.35,24,19,112,5,2222,0.79,0.95,0.15,0.15,0.33
PF00023,PF13606:PF11929:PF16553:PF11904:PF07525,205,128,77,128,51,2102,0.6,0.92,0.38,0.38,0.44,8,8,197,0,2153,1.0,0.92,0.04,0.04,0.19
PF00024,PF04181:PF14244:PF12807:PF02023:PF13961,102,101,41,61,60,2196,0.41,0.95,0.4,0.4,0.38,11,11,91,0,2256,1.0,0.96,0.11,0.11,0.32
PF00025,PF10523:PF07762:PF09814:PF03914:PF09362,128,90,41,87,49,2181,0.46,0.94,0.32,0.32,0.35,8,7,121,1,2229,0.88,0.95,0.05,0.05,0.21
PF00026,PF08016:PF07762:PF10523:PF00929:PF14521,113,161,48,65,113,2132,0.3,0.92,0.42,0.42,0.32,11,10,103,1,2244,0.91,0.96,0.09,0.09,0.28
PF00027,PF10536:PF14719:PF03359:PF00566:PF08719,150,209,70,80,139,2069,0.33,0.91,0.47,0.47,0.35,19,18,132,1,2207,0.95,0.94,0.12,0.12,0.33
PF00028,PF15974:PF01049:PF16319:PF02759:PF12807,97,86,31,66,55,2206,0.36,0.95,0.32,0.32,0.31,4,4,93,0,2261,1.0,0.96,0.04,0.04,0.2
PF00029,PF02076:PF03619:PF02116:PF02182:PF12298,16,80,9,7,71,2271,0.11,0.97,0.56,0.56,0.24,7,5,11,2,2340,0.71,0.99,0.31,0.31,0.47
PF00030,PF15327:PF02204:PF12171:PF11341:PF02025,36,122,17,19,105,2217,0.14,0.95,0.47,0.47,0.24,1,0,36,1,2321,0.0,0.98,0.0,0.0,-0.0
PF00031,PF03067:PF08757:PF00635:PF08016:PF08214,18,158,12,6,146,2194,0.08,0.94,0.67,0.67,0.21,8,2,16,6,2334,0.25,0.99,0.11,0.11,0.16
PF00032,PF01253:PF04568:PF11790:PF02826:PF10601,19,117,9,10,108,2231,0.08,0.95,0.47,0.47,0.18,11,3,16,8,2331,0.27,0.99,0.16,0.16,0.2
PF00033,PF09754:PF17053:PF04716:PF01668:PF15842,20,38,2,18,36,2302,0.05,0.98,0.1,0.1,0.06,1,0,20,1,2337,0.0,0.99,0.0,0.0,-0.0
PF00034,PF04707:PF02902:PF07062:PF01501:PF10601,32,198,23,9,175,2151,0.12,0.92,0.72,0.72,0.27,17,6,26,11,2315,0.35,0.98,0.19,0.19,0.25
PF00035,PF12171:PF00160:PF03732:PF00620:PF03359,95,320,72,23,248,2015,0.23,0.89,0.76,0.76,0.37,49,28,67,21,2242,0.57,0.96,0.29,0.29,0.39
PF00036,PF13833:PF13202:PF13405:PF12171:PF02204,66,247,57,9,190,2102,0.23,0.92,0.86,0.86,0.42,45,34,32,11,2281,0.76,0.98,0.52,0.52,0.62
PF00037,PF05572:PF15785:PF13360:PF07173:PF12145,24,94,10,14,84,2250,0.11,0.96,0.42,0.42,0.2,10,5,19,5,2329,0.5,0.99,0.21,0.21,0.32
PF00038,PF15247:PF16012:PF00687:PF10419:PF04679,49,100,23,26,77,2232,0.23,0.96,0.47,0.47,0.31,5,5,44,0,2309,1.0,0.98,0.1,0.1,0.32
PF00039,PF07173:PF02010:PF05572:PF15739:PF08242,7,97,3,4,94,2257,0.03,0.96,0.43,0.43,0.11,13,1,6,12,2339,0.08,0.99,0.14,0.14,0.1
PF00040,PF08719:PF07721:PF01547:PF06398:PF00354,35,102,19,16,83,2240,0.19,0.96,0.54,0.54,0.3,11,7,28,4,2319,0.64,0.99,0.2,0.2,0.35
PF00041,PF01682:PF16066:PF00102:PF12171:PF00147,177,212,95,82,117,2064,0.45,0.92,0.54,0.54,0.44,29,26,151,3,2178,0.9,0.93,0.15,0.15,0.35
PF00042,PF00338:PF04199:PF15320:PF01791:PF10185,45,87,22,23,65,2248,0.25,0.96,0.49,0.49,0.33,7,6,39,1,2312,0.86,0.98,0.13,0.13,0.33
PF00043,PF14497:PF00647:PF00620:PF12171:PF08074,91,233,60,31,173,2094,0.26,0.91,0.66,0.66,0.38,30,24,67,6,2261,0.8,0.97,0.26,0.26,0.45
PF00044,PF10206:PF08642:PF06925:PF16180:PF13971,43,22,6,37,16,2299,0.27,0.98,0.14,0.14,0.18,0,0,43,0,2315,0,0.98,0.0,0.0,0
PF00045,PF04886:PF15696:PF15337:PF11341:PF02025,47,38,16,31,22,2289,0.42,0.98,0.34,0.34,0.37,0,0,47,0,2311,0,0.98,0.0,0.0,0
PF00046,PF13676:PF04906:PF03761:PF04801:PF03824,188,79,43,145,36,2134,0.54,0.92,0.23,0.23,0.32,4,4,184,0,2170,1.0,0.92,0.02,0.02,0.14
PF00047,PF13895:PF12171:PF01342:PF16016:PF07535,71,142,45,26,97,2190,0.32,0.95,0.63,0.63,0.42,12,10,61,2,2285,0.83,0.97,0.14,0.14,0.34
PF00048,PF13564:PF10276:PF15046:PF09802:PF03298,23,35,6,17,29,2306,0.17,0.98,0.26,0.26,0.2,0,0,23,0,2335,0,0.99,0.0,0.0,0
PF00049,PF06027:PF15251:PF02301:PF15247:PF09815,13,71,3,10,68,2277,0.04,0.97,0.23,0.23,0.09,4,2,11,2,2343,0.5,0.99,0.15,0.15,0.28
PF00050,PF07648:PF09289:PF12171:PF00160:PF14244,42,240,32,10,208,2108,0.13,0.91,0.76,0.76,0.29,20,7,35,13,2303,0.35,0.98,0.17,0.17,0.23
