ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF06110,PF03079:PF04377:PF06212:PF04376:PF05219,10,28,6,4,22,986,0.21,0.97,0.6,0.35,0,0,10,0,1008,0,0.99,0.0,0
PF07610,PF15082:PF04632:PF04001:PF15392:PF08183,1,3,0,1,3,1014,0.0,1.0,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF08856,PF10951:PF06934:PF15355:PF01913:PF07505,0,1,0,0,1,1017,0.0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF09183,PF11720:PF09648:PF04466:PF12571:PF06356,1,1,1,0,0,1017,1.0,1.0,1.0,1.0,0,0,1,0,1017,0,1.0,0.0,0
PF08696,PF08427:PF10350:PF07539:PF17034:PF07035,9,34,4,5,30,979,0.12,0.97,0.44,0.22,3,2,7,1,1008,0.67,0.99,0.22,0.38
PF01185,PF06127:PF11779:PF08561:PF09631:PF10780,4,21,2,2,19,995,0.1,0.98,0.5,0.21,1,1,3,0,1014,1.0,1.0,0.25,0.5
PF03488,PF10705:PF14972:PF00727:PF00714:PF15715,1,7,0,1,7,1010,0.0,0.99,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF11403,PF08546:PF01996:PF10409:PF01331:PF01852,2,66,1,1,65,951,0.02,0.94,0.5,0.08,6,0,2,6,1010,0.0,0.99,0.0,-0.0
PF01087,PF02744:PF12243:PF01729:PF14768:PF02749,8,20,8,0,12,998,0.4,0.99,1.0,0.63,1,0,8,1,1009,0.0,0.99,0.0,-0.0
PF06621,PF12114:PF09427:PF11413:PF08778:PF11851,4,12,3,1,9,1005,0.25,0.99,0.75,0.43,2,2,2,0,1014,1.0,1.0,0.5,0.71
PF16001,PF08730:PF17061:PF02951:PF08002:PF07359,1,4,0,1,4,1013,0.0,1.0,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF13538,PF02689:PF12014:PF05970:PF14214:PF10442,5,49,5,0,44,969,0.1,0.96,1.0,0.31,7,3,2,4,1009,0.43,0.99,0.6,0.5
PF02608,PF01547:PF07562:PF03247:PF01094:PF10565,4,80,3,1,77,937,0.04,0.92,0.75,0.16,6,2,2,4,1010,0.33,0.99,0.5,0.41
PF08987,PF15775:PF03845:PF15340:PF13390:PF17015,0,10,0,0,10,1008,0.0,0.99,0,0,0,0,0,0,1018,0,1.0,0,0
PF11976,PF01150:PF06179:PF08511:PF04574:PF09280,23,37,8,15,29,966,0.22,0.96,0.35,0.25,4,2,21,2,993,0.5,0.98,0.09,0.2
PF03949,PF00390:PF04515:PF00456:PF02780:PF10022,16,54,15,1,39,963,0.28,0.96,0.94,0.5,7,4,12,3,999,0.57,0.99,0.25,0.37
PF08505,PF10490:PF10375:PF05164:PF02108:PF08647,1,14,0,1,14,1003,0.0,0.99,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF02354,PF02191:PF02140:PF12308:PF01825:PF12129,2,59,2,0,57,959,0.03,0.94,1.0,0.18,6,2,0,4,1012,0.33,1.0,1.0,0.58
PF05564,PF11317:PF15550:PF02427:PF08576:PF15559,1,3,0,1,3,1014,0.0,1.0,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF01930,PF11229:PF08696:PF00680:PF17167:PF15149,1,23,1,0,22,995,0.04,0.98,1.0,0.21,0,0,1,0,1017,0,1.0,0.0,0
PF07521,PF11718:PF13299:PF16661:PF10996:PF07289,24,40,21,3,19,975,0.53,0.98,0.88,0.67,16,10,14,6,988,0.62,0.98,0.42,0.5
PF01393,PF17218:PF06781:PF00385:PF03716:PF10021,11,71,10,1,61,946,0.14,0.94,0.91,0.34,1,1,10,0,1007,1.0,0.99,0.09,0.3
PF16217,PF13722:PF07409:PF03090:PF07157:PF14323,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF11470,PF09429:PF09041:PF08605:PF07001:PF15624,6,19,2,4,17,995,0.11,0.98,0.33,0.18,0,0,6,0,1012,0,0.99,0.0,0
PF11556,PF12361:PF12377:PF15445:PF03011:PF15447,1,1,1,0,0,1017,1.0,1.0,1.0,1.0,1,1,0,0,1017,1.0,1.0,1.0,1.0
