ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF07647,PF00536:PF12485:PF16533:PF14847:PF00644,80,159,63,17,96,2182,0.4,0.95,0.79,0.54,7,7,73,0,2278,1.0,0.97,0.09,0.29
PF05295,PF10285:PF10630:PF10284:PF15467:PF15015,0,2,0,0,2,2356,0.0,1.0,0,0,0,0,0,0,2358,0,1.0,0,0
PF01120,PF16757:PF04041:PF14687:PF08527:PF11380,30,40,16,14,24,2304,0.4,0.98,0.53,0.45,0,0,30,0,2328,0,0.99,0.0,0
PF12867,PF10017:PF03781:PF03102:PF04775:PF00463,12,42,10,2,32,2314,0.24,0.99,0.83,0.44,4,3,9,1,2345,0.75,1.0,0.25,0.43
PF11798,PF00817:PF13438:PF11799:PF06732:PF11626,8,68,8,0,60,2290,0.12,0.97,1.0,0.34,5,3,5,2,2348,0.6,1.0,0.38,0.47
PF08217,PF02765:PF16418:PF06025:PF16417:PF08166,20,51,4,16,47,2291,0.08,0.97,0.2,0.11,3,1,19,2,2336,0.33,0.99,0.05,0.13
PF15716,PF08093:PF05853:PF15175:PF05611:PF15207,0,8,0,0,8,2350,0.0,1.0,0,0,0,0,0,0,2358,0,1.0,0,0
PF07524,PF04139:PF11945:PF04189:PF06221:PF10406,32,72,24,8,48,2278,0.33,0.98,0.75,0.49,5,4,28,1,2325,0.8,0.99,0.12,0.31
PF00063,PF01576:PF02736:PF06017:PF00784:PF01843,143,131,98,45,33,2182,0.75,0.97,0.69,0.7,22,19,124,3,2212,0.86,0.95,0.13,0.33
PF01130,PF16969:PF05693:PF03096:PF15390:PF03896,44,64,18,26,46,2268,0.28,0.97,0.41,0.32,2,2,42,0,2314,1.0,0.98,0.05,0.21
PF02560,PF09424:PF12900:PF02195:PF10244:PF14935,10,33,2,8,31,2317,0.06,0.98,0.2,0.1,1,1,9,0,2348,1.0,1.0,0.1,0.32
PF07610,PF15082:PF04632:PF04001:PF15392:PF08183,1,5,0,1,5,2352,0.0,1.0,0.0,-0.0,0,0,1,0,2357,0,1.0,0.0,0
PF13725,PF13718:PF05127:PF08351:PF08746:PF03298,20,44,20,0,24,2314,0.45,0.99,1.0,0.67,21,20,0,1,2337,0.95,1.0,1.0,0.98
PF09462,PF10407:PF15082:PF15407:PF12178:PF05762,10,14,2,8,12,2336,0.14,0.99,0.2,0.16,0,0,10,0,2348,0,1.0,0.0,0
PF10609,PF01883:PF06155:PF02668:PF03834:PF05141,38,103,24,14,79,2241,0.23,0.96,0.63,0.37,11,5,33,6,2314,0.45,0.98,0.13,0.24
PF06682,PF14941:PF04452:PF02422:PF11759:PF05428,14,9,0,14,9,2335,0.0,0.99,0.0,-0.0,0,0,14,0,2344,0,0.99,0.0,0
PF08246,PF00112:PF08773:PF08127:PF01066:PF04406,58,160,55,3,105,2195,0.34,0.95,0.95,0.56,13,8,50,5,2295,0.62,0.98,0.14,0.28
PF01059,PF06444:PF04241:PF12155:PF03100:PF02284,2,42,2,0,40,2316,0.05,0.98,1.0,0.22,0,0,2,0,2356,0,1.0,0.0,0
PF07308,PF03090:PF06082:PF12081:PF06890:PF13722,0,2,0,0,2,2356,0.0,1.0,0,0,0,0,0,0,2358,0,1.0,0,0
