ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF13988,PF06594:PF07964:PF10554,0,2,0,0,2,1024,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF16810,PF10504:PF01387:PF01698,4,3,0,4,3,1019,0.0,0.99,0.0,-0.0,0,0,4,0,1022,0,1.0,0.0,0
PF02690,PF04261:PF07837:PF01858,4,10,2,2,8,1014,0.2,0.99,0.5,0.31,0,0,4,0,1022,0,1.0,0.0,0
PF06825,PF03386:PF05512:PF13741,1,1,0,1,1,1024,0.0,1.0,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF01666,PF04562:PF12628:PF04370,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF00731,PF02222:PF01259:PF04248,6,10,5,1,5,1015,0.5,0.99,0.83,0.64,2,2,4,0,1020,1.0,1.0,0.33,0.58
PF06516,PF06108:PF06912:PF06232,3,8,1,2,7,1016,0.12,0.99,0.33,0.2,0,0,3,0,1023,0,1.0,0.0,0
PF01863,PF06114:PF05016:PF11614,3,3,0,3,3,1020,0.0,0.99,0.0,-0.0,0,0,3,0,1023,0,1.0,0.0,0
PF11830,PF15733:PF12068:PF12473,0,16,0,0,16,1010,0.0,0.98,0,0,2,0,0,2,1024,0.0,1.0,0,0
PF13299,PF07521:PF11718:PF07289,9,21,3,6,18,999,0.14,0.98,0.33,0.21,9,1,8,8,1009,0.11,0.98,0.11,0.1
PF07934,PF10576:PF14815:PF00633,11,10,3,8,7,1008,0.3,0.99,0.27,0.28,2,2,9,0,1015,1.0,0.99,0.18,0.42
PF02330,PF06749:PF01791:PF01625,2,16,1,1,15,1009,0.06,0.98,0.5,0.17,1,0,2,1,1023,0.0,1.0,0.0,-0.0
PF06923,PF00766:PF08025:PF01512,0,12,0,0,12,1014,0.0,0.99,0,0,2,0,0,2,1024,0.0,1.0,0,0
PF00705,PF02747:PF08523:PF01643,8,14,8,0,6,1012,0.57,0.99,1.0,0.75,1,1,7,0,1018,1.0,0.99,0.12,0.35
PF13762,PF08334:PF04347:PF01475,1,5,0,1,5,1020,0.0,0.99,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF01593,PF02353:PF04433:PF02027,34,20,15,19,5,987,0.75,0.98,0.44,0.56,3,3,31,0,992,1.0,0.97,0.09,0.29
PF10108,PF08496:PF02951:PF15685,1,6,1,0,5,1020,0.17,1.0,1.0,0.41,0,0,1,0,1025,0,1.0,0.0,0
PF10462,PF08744:PF11775:PF15271,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF07929,PF13392:PF04194:PF09698,3,14,1,2,13,1010,0.07,0.99,0.33,0.15,1,1,2,0,1023,1.0,1.0,0.33,0.58
PF15619,PF06637:PF16043:PF15257,3,2,0,3,2,1021,0.0,1.0,0.0,-0.0,0,0,3,0,1023,0,1.0,0.0,0
PF11901,PF12248:PF09458:PF01229,12,18,6,6,12,1002,0.33,0.98,0.5,0.4,2,2,10,0,1014,1.0,0.99,0.17,0.41
PF01131,PF01751:PF01396:PF13368,17,23,15,2,8,1001,0.65,0.99,0.88,0.75,4,4,13,0,1009,1.0,0.99,0.24,0.48
PF02995,PF13383:PF02958:PF00762,8,27,4,4,23,995,0.15,0.97,0.5,0.26,2,1,7,1,1017,0.5,0.99,0.12,0.25
PF01592,PF01774:PF02284:PF00444,6,10,1,5,9,1011,0.1,0.99,0.17,0.12,1,0,6,1,1019,0.0,0.99,0.0,-0.0
PF01339,PF12431:PF04397:PF12010,5,1,1,4,0,1021,1.0,1.0,0.2,0.45,1,1,4,0,1021,1.0,1.0,0.2,0.45
PF07110,PF14027:PF04199:PF01828,4,18,3,1,15,1007,0.17,0.98,0.75,0.35,6,3,1,3,1019,0.5,1.0,0.75,0.61
PF15623,PF06890:PF06798:PF06403,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF00125,PF16211:PF01661:PF02926,31,39,17,14,22,973,0.44,0.96,0.55,0.47,6,5,26,1,994,0.83,0.97,0.16,0.36
PF00658,PF11532:PF16842:PF08080,6,0,0,6,0,1020,0,0.99,0.0,0,0,0,6,0,1020,0,0.99,0.0,0
PF05229,PF03241:PF11751:PF14842,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF06821,PF15088:PF08843:PF00519,0,2,0,0,2,1024,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF11254,PF02863:PF14871:PF11876,1,4,0,1,4,1021,0.0,1.0,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF03708,PF14421:PF09003:PF13101,1,2,0,1,2,1023,0.0,1.0,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF09072,PF16499:PF10632:PF03762,6,12,3,3,9,1011,0.25,0.99,0.5,0.35,1,1,5,0,1020,1.0,1.0,0.17,0.41
PF00189,PF12333:PF14959:PF07810,6,6,1,5,5,1015,0.17,0.99,0.17,0.16,0,0,6,0,1020,0,0.99,0.0,0
PF15515,PF15400:PF01076:PF05065,0,2,0,0,2,1024,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF05418,PF15662:PF08497:PF12724,1,0,0,1,0,1025,0,1.0,0.0,0,0,0,1,0,1025,0,1.0,0.0,0
PF05894,PF08291:PF10618:PF05100,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF14464,PF15160:PF08331:PF03389,3,0,0,3,0,1023,0,1.0,0.0,0,0,0,3,0,1023,0,1.0,0.0,0
PF14959,PF13910:PF15627:PF08168,0,2,0,0,2,1024,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF06835,PF03968:PF17088:PF15079,1,3,1,0,2,1023,0.33,1.0,1.0,0.58,0,0,1,0,1025,0,1.0,0.0,0
PF00550,PF08659:PF14765:PF00109,29,36,21,8,15,982,0.58,0.98,0.72,0.64,22,19,10,3,994,0.86,0.99,0.66,0.75
PF10174,PF09457:PF08172:PF10195,6,10,0,6,10,1010,0.0,0.98,0.0,-0.01,0,0,6,0,1020,0,0.99,0.0,0
PF17218,PF13907:PF01393:PF03716,0,17,0,0,17,1009,0.0,0.98,0,0,1,0,0,1,1025,0.0,1.0,0,0
PF00355,PF01180:PF07992:PF08417,24,60,17,7,43,959,0.28,0.95,0.71,0.43,6,4,20,2,1000,0.67,0.98,0.17,0.33
PF10042,PF00038:PF08757:PF00932,1,16,0,1,16,1009,0.0,0.98,0.0,-0.0,2,0,1,2,1023,0.0,1.0,0.0,-0.0
PF05853,PF15050:PF17015:PF15036,1,2,0,1,2,1023,0.0,1.0,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF01351,PF10498:PF08617:PF09696,13,14,4,9,10,1003,0.29,0.98,0.31,0.29,2,0,13,2,1011,0.0,0.99,0.0,-0.01
PF15786,PF13933:PF15831:PF02202,0,1,0,0,1,1025,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF17007,PF11751:PF05513:PF08479,0,1,0,0,1,1025,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF02913,PF09265:PF04030:PF02873,17,15,5,12,10,999,0.33,0.98,0.29,0.3,2,2,15,0,1009,1.0,0.99,0.12,0.34
PF10247,PF04051:PF00118:PF06825,3,52,3,0,49,974,0.06,0.95,1.0,0.23,7,2,1,5,1018,0.29,0.99,0.67,0.43
PF00941,PF03450:PF01315:PF00111,9,20,9,0,11,1006,0.45,0.99,1.0,0.67,8,8,1,0,1017,1.0,1.0,0.89,0.94
PF08104,PF13368:PF12047:PF16885,1,13,0,1,13,1012,0.0,0.99,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF10632,PF09072:PF03442:PF16499,1,16,1,0,15,1010,0.06,0.99,1.0,0.25,4,1,0,3,1022,0.25,1.0,1.0,0.5
PF00190,PF04859:PF04702:PF07762,12,10,2,10,8,1006,0.2,0.98,0.17,0.17,0,0,12,0,1014,0,0.99,0.0,0
PF01056,PF02344:PF11851:PF15372,2,3,2,0,1,1023,0.67,1.0,1.0,0.82,1,1,1,0,1024,1.0,1.0,0.5,0.71
PF12013,PF00172:PF16783:PF14619,6,78,5,1,73,947,0.06,0.93,0.83,0.22,1,0,6,1,1019,0.0,0.99,0.0,-0.0
PF01424,PF11952:PF13902:PF12752,28,14,11,17,3,995,0.79,0.98,0.39,0.55,1,0,28,1,997,0.0,0.97,0.0,-0.01
PF03403,PF07470:PF10503:PF00457,13,16,3,10,13,1000,0.19,0.98,0.23,0.2,3,1,12,2,1011,0.33,0.99,0.08,0.16
PF03944,PF04349:PF07434:PF11019,1,1,0,1,1,1024,0.0,1.0,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF10558,PF16860:PF03073:PF02569,1,12,0,1,12,1013,0.0,0.99,0.0,-0.0,0,0,1,0,1025,0,1.0,0.0,0
PF03002,PF00127:PF10542:PF04839,2,3,0,2,3,1021,0.0,1.0,0.0,-0.0,0,0,2,0,1024,0,1.0,0.0,0
PF00045,PF01471:PF08924:PF15225,13,14,10,3,4,1009,0.71,0.99,0.77,0.74,1,1,12,0,1013,1.0,0.99,0.08,0.28
PF01987,PF04667:PF10780:PF01097,6,8,1,5,7,1013,0.12,0.99,0.17,0.14,0,0,6,0,1020,0,0.99,0.0,0
PF15934,PF15821:PF13096:PF13870,0,1,0,0,1,1025,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF04902,PF04904:PF04905:PF14763,1,1,1,0,0,1025,1.0,1.0,1.0,1.0,1,1,0,0,1025,1.0,1.0,1.0,1.0
PF16673,PF08941:PF02176:PF06803,0,18,0,0,18,1008,0.0,0.98,0,0,3,0,0,3,1023,0.0,1.0,0,0
PF03358,PF06244:PF01987:PF04667,11,13,1,10,12,1003,0.08,0.98,0.09,0.07,2,0,11,2,1013,0.0,0.99,0.0,-0.0
PF15055,PF14986:PF15109:PF04691,0,3,0,0,3,1023,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF05163,PF09798:PF11214:PF04196,0,3,0,0,3,1023,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF00019,PF00688:PF10156:PF09771,15,8,5,10,3,1008,0.62,0.99,0.33,0.45,1,1,14,0,1011,1.0,0.99,0.07,0.26
PF01678,PF17187:PF09328:PF08622,6,4,0,6,4,1016,0.0,0.99,0.0,-0.0,2,0,6,2,1018,0.0,0.99,0.0,-0.0
PF15726,PF15851:PF06251:PF14690,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF00033,PF00115:PF13631:PF00119,5,9,4,1,5,1016,0.44,0.99,0.8,0.59,2,1,4,1,1020,0.5,1.0,0.2,0.31
PF09747,PF04253:PF01133:PF12298,4,18,4,0,14,1008,0.22,0.99,1.0,0.47,2,1,3,1,1021,0.5,1.0,0.25,0.35
PF16731,PF00770:PF15555:PF17112,0,3,0,0,3,1023,0.0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF04218,PF03221:PF04236:PF03184,6,38,5,1,33,987,0.13,0.97,0.83,0.32,18,5,1,13,1007,0.28,0.99,0.83,0.48
PF12689,PF09778:PF12223:PF16954,7,3,0,7,3,1016,0.0,0.99,0.0,-0.0,0,0,7,0,1019,0,0.99,0.0,0
PF13931,PF16540:PF14739:PF11995,3,9,1,2,8,1015,0.11,0.99,0.33,0.19,1,1,2,0,1023,1.0,1.0,0.33,0.58
PF11651,PF10460:PF16286:PF03420,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
