ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047,27,3,2,25,1,284,0.67,0.92,0.07,0.07,0.2,3,2,25,1,284,0.67,0.92,0.07,0.07,0.2
PF00002,PF13676,11,6,5,6,1,300,0.83,0.98,0.45,0.45,0.61,6,5,6,1,300,0.83,0.98,0.45,0.45,0.61
PF00003,PF00497,6,2,2,4,0,306,1.0,0.99,0.33,0.33,0.57,2,2,4,0,306,1.0,0.99,0.33,0.33,0.57
PF00004,PF08477,40,10,7,33,3,269,0.7,0.88,0.17,0.17,0.31,10,7,33,3,269,0.7,0.88,0.17,0.17,0.31
PF00005,PF02893,47,10,8,39,2,263,0.8,0.87,0.17,0.17,0.33,10,8,39,2,263,0.8,0.87,0.17,0.17,0.33
PF00006,PF00306,13,8,7,6,1,298,0.88,0.98,0.54,0.54,0.68,8,7,6,1,298,0.88,0.98,0.54,0.54,0.68
PF00007,PF11630,4,0,0,4,0,308,0,0.99,0.0,0.0,0,0,0,4,0,308,0,0.99,0.0,0.0,0
PF00008,PF12661,15,10,9,6,1,296,0.9,0.98,0.6,0.6,0.72,10,9,6,1,296,0.9,0.98,0.6,0.6,0.72
PF00010,PF03067,16,8,5,11,3,293,0.62,0.96,0.31,0.31,0.42,8,5,11,3,293,0.62,0.96,0.31,0.31,0.42
PF00011,PF10639,7,2,0,7,2,303,0.0,0.97,0.0,0.0,-0.01,2,0,7,2,303,0.0,0.97,0.0,0.0,-0.01
PF00012,PF09728,10,4,2,8,2,300,0.5,0.97,0.2,0.2,0.3,4,2,8,2,300,0.5,0.97,0.2,0.2,0.3
PF00013,PF09005,12,1,1,11,0,300,1.0,0.96,0.08,0.08,0.28,1,1,11,0,300,1.0,0.96,0.08,0.08,0.28
PF00014,PF14625,7,4,4,3,0,305,1.0,0.99,0.57,0.57,0.75,4,4,3,0,305,1.0,0.99,0.57,0.57,0.75
PF00015,PF13879,2,1,1,1,0,310,1.0,1.0,0.5,0.5,0.71,1,1,1,0,310,1.0,1.0,0.5,0.5,0.71
PF00016,PF14980,1,1,0,1,1,310,0.0,0.99,0.0,0.0,-0.0,1,0,1,1,310,0.0,0.99,0.0,0.0,-0.0
PF00017,PF05406,18,5,5,13,0,294,1.0,0.96,0.28,0.28,0.52,5,5,13,0,294,1.0,0.96,0.28,0.28,0.52
PF00018,PF14604,31,18,13,18,5,276,0.72,0.93,0.42,0.42,0.52,18,13,18,5,276,0.72,0.93,0.42,0.42,0.52
PF00019,PF11341,7,0,0,7,0,305,0,0.98,0.0,0.0,0,0,0,7,0,305,0,0.98,0.0,0.0,0
PF00020,PF00531,3,7,3,0,4,305,0.43,0.99,1.0,1.0,0.65,7,3,0,4,305,0.43,0.99,1.0,1.0,0.65
PF00021,PF07762,4,3,0,4,3,305,0.0,0.98,0.0,0.0,-0.01,3,0,4,3,305,0.0,0.98,0.0,0.0,-0.01
