ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF00801,PF02010:PF08016:PF07632:PF01477:PF00059,3,18,2,1,16,295,0.11,0.95,0.67,0.26,3,2,1,1,310,0.67,0.99,0.67,0.66
PF16263,PF07338:PF13390:PF02113:PF09829:PF02277,0,2,0,0,2,312,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
PF14255,PF03244:PF17076:PF15281:PF04342:PF15186,0,3,0,0,3,311,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
PF00350,PF01031:PF02212:PF04799:PF16880:PF14764,16,15,13,3,2,296,0.87,0.98,0.81,0.83,6,6,10,0,298,1.0,0.97,0.38,0.6
PF04824,PF05029:PF12166:PF04054:PF16418:PF16876,2,7,1,1,6,306,0.14,0.98,0.5,0.26,1,1,1,0,312,1.0,1.0,0.5,0.71
PF05552,PF04586:PF04671:PF11775:PF04717:PF09611,1,1,0,1,1,312,0.0,0.99,0.0,-0.0,0,0,1,0,313,0,1.0,0.0,0
PF06026,PF05915:PF06376:PF07896:PF07816:PF03208,2,3,0,2,3,309,0.0,0.98,0.0,-0.01,0,0,2,0,312,0,0.99,0.0,0
PF08437,PF04225:PF10118:PF14685:PF13471:PF09078,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF07759,PF00040:PF03669:PF10867:PF09420:PF02270,0,8,0,0,8,306,0.0,0.97,0,0,2,0,0,2,312,0.0,0.99,0,0
PF00055,PF06008:PF06009:PF02210:PF03723:PF01759,7,12,5,2,7,300,0.42,0.97,0.71,0.53,1,1,6,0,307,1.0,0.98,0.14,0.37
PF00862,PF13439:PF12038:PF15924:PF13579:PF04413,1,3,1,0,2,311,0.33,0.99,1.0,0.58,0,0,1,0,313,0,1.0,0.0,0
PF00014,PF10223:PF15761:PF00095:PF00061:PF02961,7,11,7,0,4,303,0.64,0.99,1.0,0.79,2,2,5,0,307,1.0,0.98,0.29,0.53
PF07535,PF08630:PF08634:PF15275:PF15257:PF16043,0,2,0,0,2,312,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
PF11954,PF07930:PF01427:PF06176:PF00144:PF07311,0,9,0,0,9,305,0.0,0.97,0,0,0,0,0,0,314,0,1.0,0,0
PF03155,PF04493:PF01722:PF14031:PF00842:PF05994,5,10,2,3,8,301,0.2,0.96,0.4,0.27,2,0,5,2,307,0.0,0.98,0.0,-0.01
PF03945,PF16401:PF12600:PF14022:PF15073:PF16692,0,2,0,0,2,312,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
PF06573,PF15207:PF03050:PF03238:PF06952:PF15190,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF03592,PF06381:PF11863:PF17206:PF01580:PF08479,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF06501,PF14685:PF04160:PF10118:PF05103:PF04225,1,1,1,0,0,313,1.0,1.0,1.0,1.0,0,0,1,0,313,0,1.0,0.0,0
PF01766,PF04099:PF07672:PF09445:PF15011:PF14934,0,12,0,0,12,302,0.0,0.96,0,0,0,0,0,0,314,0,1.0,0,0
PF08591,PF07961:PF05754:PF04691:PF15055:PF14519,1,3,0,1,3,310,0.0,0.99,0.0,-0.01,0,0,1,0,313,0,1.0,0.0,0
PF00707,PF03479:PF03066:PF08636:PF07797:PF11623,2,4,0,2,4,308,0.0,0.98,0.0,-0.01,0,0,2,0,312,0,0.99,0.0,0
PF07792,PF15912:PF09441:PF04357:PF05397:PF15309,0,7,0,0,7,307,0.0,0.98,0,0,0,0,0,0,314,0,1.0,0,0
PF02965,PF02607:PF02310:PF01642:PF00809:PF02574,2,4,2,0,2,310,0.5,0.99,1.0,0.7,2,2,0,0,312,1.0,1.0,1.0,1.0
PF05257,PF06324:PF12138:PF15289:PF16763:PF11581,0,2,0,0,2,312,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
PF03400,PF05634:PF04797:PF01750:PF07084:PF01219,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF12200,PF17106:PF10423:PF02909:PF10703:PF01297,1,4,0,1,4,309,0.0,0.98,0.0,-0.01,0,0,1,0,313,0,1.0,0.0,0
PF04410,PF03045:PF08265:PF03162:PF01871:PF04831,6,9,2,4,7,301,0.22,0.96,0.33,0.25,0,0,6,0,308,0,0.98,0.0,0
PF08856,PF10951:PF06934:PF15355:PF01913:PF07505,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF04120,PF05953:PF00871:PF16740:PF09363:PF07950,0,6,0,0,6,308,0.0,0.98,0,0,1,0,0,1,313,0.0,1.0,0,0
PF11022,PF03401:PF11697:PF08497:PF01514:PF01668,0,3,0,0,3,311,0.0,0.99,0,0,0,0,0,0,314,0,1.0,0,0
